"Observation station","Year","Month","Day","Time [Local time]","Minimum temperature [Â°C]","Precipitation [mm]"
"Espoo Tapiola","2025","10","25","00:00","9.5","0"
"Espoo Tapiola","2025","10","25","01:00","9.5","0.3"
"Espoo Tapiola","2025","10","25","02:00","9.5","1.2"
"Espoo Tapiola","2025","10","25","03:00","9.6","0.6"
"Espoo Tapiola","2025","10","25","04:00","9.8","0.6"
"Espoo Tapiola","2025","10","25","05:00","10","0.5"
"Espoo Tapiola","2025","10","25","06:00","10.2","0.3"
"Espoo Tapiola","2025","10","25","07:00","10.3","1"
"Espoo Tapiola","2025","10","25","08:00","10.4","0.2"
"Espoo Tapiola","2025","10","25","09:00","10.6","0"
"Espoo Tapiola","2025","10","25","10:00","10.6","0"
"Espoo Tapiola","2025","10","25","11:00","10.7","0"
"Espoo Tapiola","2025","10","25","12:00","10.9","0"
"Espoo Tapiola","2025","10","25","13:00","11","0"
"Espoo Tapiola","2025","10","25","14:00","11","0"
"Espoo Tapiola","2025","10","25","15:00","10.9","0"
"Espoo Tapiola","2025","10","25","16:00","10.6","0"
"Espoo Tapiola","2025","10","25","17:00","10.4","0"
"Espoo Tapiola","2025","10","25","18:00","10.4","0"
"Espoo Tapiola","2025","10","25","19:00","10.4","0.1"
"Espoo Tapiola","2025","10","25","20:00","10.5","0"
"Espoo Tapiola","2025","10","25","21:00","10.4","0"
"Espoo Tapiola","2025","10","25","22:00","10.4","0.1"
"Espoo Tapiola","2025","10","25","23:00","10.4","0"
